output_id,method,instance_mae,creator_mae,top1_hit,coverage_at_k,precision_at_k,recall_at_k,creator_precision_at_k,creator_recall_at_k,axioms_proven,axioms_total,is_dna_case
output_000,cascade_v,0.01652892561983471,0.057657381174980364,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1,3,False
output_000,trak_alone,0.047614862747006166,0.1761668665436257,False,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0,0,False
output_000,loo_alone,0.047619047619047616,0.32356327772140503,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
output_000,shapley_alone,0.04685830332224332,0.16419483224550882,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
output_001,cascade_v,0.012269938627452206,0.05018097928000822,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1,3,True
output_001,trak_alone,0.045450272189189504,0.12903680386287822,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,True
output_001,loo_alone,0.04350700859955521,0.12903680386287825,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,True
output_001,shapley_alone,0.04305398442215489,0.12903680386287827,False,0.2,0.2,0.2,0.3333333333333333,0.3333333333333333,0,0,True
output_002,cascade_v,0.011725769721430773,0.057979237282007955,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2,3,False
output_002,trak_alone,0.04347826095054979,0.17607882660296229,False,0.0,0.0,0.0,0.4,0.3333333333333333,0,0,False
output_002,loo_alone,0.04347826095054979,0.1891743578016758,False,0.0,0.0,0.0,0.4,0.3333333333333333,0,0,False
output_002,shapley_alone,0.04347826095054979,0.17607882660296229,False,0.0,0.0,0.0,0.4,0.3333333333333333,0,0,False
output_003,cascade_v,0.02299198145373151,0.02977181758199419,False,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,2,3,False
output_003,trak_alone,0.04761454583665186,0.10346249544561337,False,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0,0,False
output_003,loo_alone,0.04526949601304795,0.05591081429726876,False,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0,0,False
output_003,shapley_alone,0.045033502092331895,0.06529901781765267,False,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0,0,False
output_004,cascade_v,0.023065383172299662,0.07366874861868196,False,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,3,False
output_004,trak_alone,0.02966692151129588,0.1776184922447952,True,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,False
output_004,loo_alone,0.04761904784079109,0.28571428704474655,False,0.0,0.0,0.0,0.0,0.0,0,0,False
output_004,shapley_alone,0.04577008993542444,0.15900648484955363,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
output_005,cascade_v,0.022378613785867394,0.07462855978910504,False,0.0,0.0,0.0,0.8,0.8,2,3,False
output_005,trak_alone,0.044444443823562725,0.14040660563816293,False,0.0,0.0,0.0,0.2,0.2,0,0,False
output_005,loo_alone,0.044444443823562725,0.12186314294544552,False,0.0,0.0,0.0,0.2,0.2,0,0,False
output_005,shapley_alone,0.04444444382356273,0.12558566759032594,False,0.0,0.0,0.0,0.2,0.2,0,0,False
output_006,cascade_v,0.024390243902439025,0.0541450518828172,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2,3,False
output_006,trak_alone,0.047614518022951566,0.10055509635380336,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
output_006,loo_alone,0.04597840575771919,0.10055509635380337,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
output_006,shapley_alone,0.045568998123395356,0.10055509635380337,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
output_007,cascade_v,0.024096385508506412,0.08210356737254186,False,0.0,0.0,0.0,0.25,0.25,2,3,True
output_007,trak_alone,0.04444444438235627,0.0685194470047715,False,0.0,0.0,0.0,0.5,0.5,0,0,True
output_007,loo_alone,0.04444444438235627,0.05867854258447061,False,0.0,0.0,0.0,0.5,0.5,0,0,True
output_007,shapley_alone,0.04444444438235628,0.08665539749268283,False,0.0,0.0,0.0,0.5,0.5,0,0,True
output_008,cascade_v,0.016096357463373033,0.07603365273134681,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2,3,True
output_008,trak_alone,0.046507548186403014,0.18762969264673385,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,True
output_008,loo_alone,0.044030943137382816,0.07051695929596472,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,True
output_008,shapley_alone,0.0446626657262422,0.10094190879929217,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,True
output_009,cascade_v,0.019417475402644536,0.03266793498200821,False,0.0,0.0,0.0,0.5,0.5,2,3,True
output_009,trak_alone,0.046508563282543,0.16980649900648093,False,0.0,0.0,0.0,0.5,0.5,0,0,True
output_009,loo_alone,0.046511627127264824,0.28571428092462675,False,0.0,0.0,0.0,0.0,0.0,0,0,True
output_009,shapley_alone,0.04581506547242555,0.15285866914195062,False,0.0,0.0,0.0,0.5,0.5,0,0,True
